listing_id,name,city,latitude,longitude,price,room_type,accommodates
1017177,Le Marais cozy flat CITY CENTER,Paris,48.85363,2.36683,72,Entire place,3
1017342,Appartement Bastille / Le Marais,Paris,48.85935,2.3678,110,Entire place,2
1017912,Bella Luxury Roman Historical Condo,Rome,41.93997,12.43876,150,Entire place,5
1018127,1+1 flat in the heart of Istanbul,Istanbul,41.04855,29.00416,449,Entire place,4
1018175,Nice apartment 55m2 Paris Gambetta,Paris,48.86406,2.40392,70,Entire place,4
1018181,Master Bedroom  Ideal for 2 - Luxury for 1 !,New York,40.66378,-73.95894,74,Private room,2
1018233,2 piÃ¨ces lumineux et calme,Paris,48.87097,2.35332,100,Private room,2
1018266,CAMERA VERDE CON BAGNO PRIVATO,Rome,41.92827,12.51529,45,Private room,1
1018274,family home in the most trendy area,Istanbul,41.05084,28.99805,215,Private room,2
1018446,"Aquarius Inn, Maison de Charme, S2",Rome,41.90781,12.50143,53,Hotel room,2
1018529,Large 2 BDRM @ McCarren Park!!,New York,40.72031,-73.9483,209,Entire place,4
1018623,Designer Warehouse Apartment Sydney (walk to city),Sydney,-33.87756,151.22811,369,Entire place,4
1018694,Charme e localizacao perfeita,Rio de Janeiro,-22.98412,-43.19592,184,Entire place,2
1018724,Ipanema 480 - Design Studio,Rio de Janeiro,-22.98417,-43.19532,190,Entire place,2
1019241,Chic two bedroom for Monthly rental,Bangkok,13.72682,100.52634,2342,Entire place,4
1019309,"* LA BLOCK *   Polanco, Carso / Pool / 50Mbps-HBO",Mexico City,19.44325,-99.20191,1495,Entire place,4
1019390,A room in hip creative Sheung Wan,Hong Kong,22.28671,114.15093,600,Private room,1
1019575,REAL HEART OF ROMANTIC PARIS,Paris,48.85814,2.33829,70,Shared room,4
1019624,"Cool, Clean, & Quiet Parisian Flat",Paris,48.86094,2.37596,90,Entire place,3
1019643,Newly restored Spanish Steps area,Rome,41.90802,12.47867,61,Entire place,4
1019660,DUCKS CROSSING,Cape Town,-34.04447,18.4619,2400,Entire place,6
1020279,Casamento e festas em Vargem Grande,Rio de Janeiro,-22.97711,-43.50008,5000,Entire place,16
1020393,Family friendly flat with view!,Paris,48.88466,2.33716,120,Entire place,6
1021264,Lux Flat AC-3BR Bastille le Marais,Paris,48.86187,2.36811,270,Entire place,6
1021489,rent a small room,Rio de Janeiro,-22.95076,-43.17448,50,Private room,1
1021491,Whole Apt to Yourself!: Artsy home by BK Museum,New York,40.66974,-73.958,59,Entire place,2
1021896,Trocadero - cosy Tour Eiffel studio,Paris,48.86186,2.28345,71,Entire place,3
1022243,Apartment near Eiffel tower & Porte de Versailles,Paris,48.843,2.28061,58,Private room,1
1022355,"big flat of 100m2 with garden,",Paris,48.83306,2.34819,150,Entire place,6
1022377,Lovely Quiet Apartment With Rooftop,Hong Kong,22.24189,113.9801,643,Entire place,4
1022524,Clifton Beach House Seascape,Cape Town,-33.93998,18.3754,5000,Entire place,5
1022573,"ROOM NEAR METRO LINE A, CENTRAL",Rome,41.9042,12.41961,52,Private room,1
1022780,DARLING POINT HUGE EXCLUSIVE APT,Sydney,-33.87203,151.23737,250,Entire place,4
1022819,montmartre charme,Paris,48.8879,2.33368,95,Entire place,2
1022898,STUDIO PARIS 11Ã¨me,Paris,48.86229,2.38252,50,Entire place,2
1023074,Double rooms (SuburraGreen and Red),Rome,41.89405,12.49267,50,Private room,2
1023181,"LOCATION/garden!(FEMALE only, next to girl's room)",New York,40.6787,-73.97065,53,Private room,1
1023218,Ipa dumont,Rio de Janeiro,-22.98387,-43.21388,431,Entire place,3
1023529,Convenient and private,New York,40.82153,-73.95512,55,Private room,1
1023754,Sunny Bedroom Available for Sublet,New York,40.70684,-73.94329,40,Private room,1
1024113,"Lovely room in East Williamsburg, NY",New York,40.71238,-73.9379,73,Private room,1
1024236,"Aquarius Inn, Maison de Charme, S3",Rome,41.90738,12.49931,71,Hotel room,3
1024256,"Rue Cler & River Seine, Just Perfect!",Paris,48.86157,2.30487,98,Entire place,4
1024352,Excellent room for 2 people.,Rio de Janeiro,-22.92443,-43.17486,116,Entire place,2
1024509,Sultanahmet - Central 2 BR Apt Grfl,Istanbul,41.00367,28.97589,281,Entire place,8
1024759,Avalon Beach Tree House - walk to beach & village,Sydney,-33.6347,151.31738,99,Entire place,3
1024979,Condo Dumont,Rio de Janeiro,-22.98351,-43.21429,431,Private room,1
1025786,Fantastic 1br in Astoria/LIC,New York,40.74417,-73.94823,71,Private room,1
1025847,Modern 1BR East Village Apt w/patio,New York,40.72538,-73.98351,165,Entire place,1
1026272,2BR 2BA Sunny Apartment Colosseum,Rome,41.88963,12.49427,78,Entire place,7
1026329,Paris historic Montorgueil Marais,Paris,48.8654,2.35204,158,Entire place,4
1026336,Apartment in the center of Rome,Rome,41.87786,12.45726,120,Entire place,7
1026451,"â™¡Chic Studio, Easy Walk to Pier & BTS Taksinâ™¡",Bangkok,13.71344,100.51473,929,Entire place,3
1026514,Two floors flat on Eiffel Tower,Paris,48.84299,2.28747,250,Entire place,6
1026683,Mi Casa Tu Casa Guesthouse Mexico,New York,40.81906,-73.92806,85,Private room,2
1027808,East Village Loft - 1300 sq/ft home - 2 Bedrooms!,New York,40.72351,-73.98283,475,Entire place,5
1028076,Galata & 3BR & Industrial Design,Istanbul,41.02779,28.97619,546,Entire place,8
1028469,One Bedroom Suite- WIFI- SATHORN,Bangkok,13.71654,100.52652,1948,Private room,2
1028486,STUDIO RM2 - WIFI- SATHORN,Bangkok,13.71656,100.52748,1259,Private room,2
1028758,Comme une maison avec terrasse ...,Paris,48.85958,2.36715,100,Entire place,4
1029443,Charming 35 m2 rue dahomey in mobility lease,Paris,48.85135,2.38284,110,Entire place,4
1029468,WONDERFUL FLAT AT SAINT GERMAIN!!,Paris,48.84845,2.33061,179,Entire place,3
1029482,Private Room w TV in East Village,New York,40.72346,-73.97907,95,Private room,1
1029771,"Sultanahmet-2 BR Apt,75 Sqm, 1st FL",Istanbul,41.00245,28.9759,258,Entire place,8
1029808,Spacious 1bd Near Trendy Neighborhoods And City,New York,40.70084,-73.94488,90,Entire place,2
1029997,"Sultanahmet-1 BR Apt,45 Sqm, 2nd FL",Istanbul,41.00358,28.97661,241,Entire place,4
1030054,Charmant studio pres du metro Maison Blanche,Paris,48.82183,2.36077,45,Entire place,2
1030228,Cute&comfy flat close to Montmartre,Paris,48.887,2.35438,65,Entire place,2
1030254,Large room in Beautiful communal house,New York,40.69449,-73.91156,45,Private room,1
